week,infection
1,1807
2,1407
3,1284
4,1255
5,1478
6,1816
7,1839
8,1907
9,1705
10,1892
11,1618
12,1965
13,1534
14,1735
15,1409
16,1489
17,1625
18,1228
19,1925
20,1529
21,2078
22,1651
23,1789
24,1258
25,1571
26,1044
27,1020
28,662
29,418
30,288
31,217
32,131
33,91
34,118
35,72
36,82
37,62
38,112
39,125
40,231
41,277
42,424
43,531
44,465
45,664
46,532
47,489
48,773
49,739
50,1025
51,875
52,952
53,1382
54,1286
55,842
56,1250
57,1050
58,1227
59,1455
60,1559
61,1652
62,1655
63,1471
64,1756
65,1546
66,1549
67,1529
68,1570
69,2003
70,1339
71,1520
72,1186
73,1459
74,1494
75,1022
76,1365
77,1147
78,1065
79,977
80,447
81,360
82,217
83,138
84,132
85,120
86,82
87,90
88,64
89,61
90,74
91,125
92,129
93,214
94,224
95,250
96,328
97,477
98,541
99,601
100,771
101,829
102,807
103,913
104,591
105,1166
106,1618
107,1097
108,1357
109,1362
110,1392
111,1259
112,1784
113,1545
114,1819
115,1118
116,2052
117,1993
118,1473
119,1416
120,2256
121,1598
122,935
123,1923
124,1701
125,2040
126,1399
127,1835
128,1203
129,885
130,748
131,576
132,394
133,297
134,208
135,140
136,93
137,73
138,39
139,63
140,56
141,37
142,49
143,109
144,146
145,275
146,326
147,272
148,268
149,636
150,625
151,538
152,893
153,778
154,893
155,957
156,719
157,1141
158,1314
159,2646
160,1107
161,1035
162,851
163,750
164,930
165,978
166,939
167,943
168,1066
169,1002
170,1353
171,963
172,1194
173,1417
174,576
175,1416
176,845
177,1551
178,1287
179,1277
180,1090
181,824
182,742
183,493
184,442
185,333
186,282
187,191
188,136
189,111
190,35
191,49
192,41
193,47
194,79
195,101
196,123
197,280
198,353
199,259
200,407
201,466
202,438
203,459
204,569
205,544
206,841
207,1011
208,377
209,494
210,1740
211,1618
212,862
213,1188
214,1083
215,1235
216,1289
217,1569
218,1341
219,1413
220,1383
221,1314
222,1672
223,1116
224,1417
225,1953
226,1220
227,1350
228,1447
229,1310
230,1359
231,1148
232,1367
233,1096
234,998
235,695
236,697
237,522
238,286
239,203
240,125
241,114
242,38
243,83
244,51
245,50
246,46
247,69
248,79
249,109
250,174
251,238
252,225
253,377
254,296
255,336
256,536
257,525
258,728
259,592
260,335
261,435
262,937
263,590
264,542
265,867
266,730
267,789
268,1015
269,1045
270,892
271,1141
272,1037
273,1380
274,1258
275,1006
276,1619
277,1460
278,1198
279,1407
280,1195
281,1366
282,988
283,1444
284,1218
285,1205
286,1312
287,592
288,744
289,469
290,299
291,241
292,102
293,99
294,104
295,60
296,62
297,42
298,43
299,98
300,123
301,200
302,317
303,333
304,533
305,376
306,754
307,805
308,711
309,801
310,910
311,854
312,813
313,842
314,699
315,1596
316,945
317,1120
318,914
319,1109
320,1126
321,1520
322,1114
323,1476
324,1199
325,1820
326,1449
327,1422
328,1402
329,980
330,1003
331,1556
332,1341
333,1342
334,1339
335,1390
336,1129
337,888
338,927
339,628
340,645
341,377
342,310
343,189
344,111
345,128
346,83
347,104
348,54
349,69
350,85
351,74
352,90
353,158
354,134
355,260
356,433
357,229
358,433
359,479
360,556
361,572
362,688
363,754
364,961
365,674
366,1181
367,1382
368,971
369,1320
370,820
371,1241
372,1143
373,1123
374,954
375,878
376,656
377,1406
378,1006
379,930
380,728
381,1168
382,863
383,458
384,1193
385,1080
386,938
387,842
388,1148
389,919
390,949
391,663
392,602
393,512
394,316
395,230
396,125
397,121
398,99
399,27
400,33
401,87
402,55
403,69
404,60
405,107
406,116
407,205
408,259
409,201
410,474
411,514
412,318
413,687
414,513
415,695
416,693
417,311
418,831
419,1430
420,1057
421,930
422,1105
423,1141
424,947
425,1055
426,1223
427,839
428,1010
429,1123
430,1592
431,952
432,1232
433,1077
434,1127
435,956
436,1122
437,1203
438,966
439,1050
440,772
441,821
442,883
443,984
444,581
445,598
446,476
447,380
448,344
449,143
450,97
451,76
452,101
453,50
454,63
455,80
456,71
457,101
458,158
459,164
460,346
461,306
462,486
463,490
464,356
465,492
466,543
467,505
468,665
469,38
470,389
471,1062
472,864
473,546
474,848
475,483
476,681
477,914
478,876
479,813
480,868
481,1165
482,1116
483,1072
484,1094
485,1021
486,384
487,88
488,1140
489,1841
490,1101
491,1066
492,1044
493,518
494,1057
495,726
496,428
497,515
498,435
499,347
500,283
501,229
502,120
503,93
504,50
505,43
506,36
507,83
508,73
509,120
510,177
511,126
512,270
513,221
514,272
515,305
516,394
517,201
518,608
519,536
520,286
521,299
522,1375
